year,yr,month,allitems,food_non_alcoholic,beverages,clothing,utilities,furnishing,health,transport,communication,recreation,education,restaurant,miscellaneous,CPI excluding unprocessed food and petrol,food,bread &cereals,Meat,fish,dairy,oils_fats,fruits,vegetables,sugar,Food products n.e.c.,location,treatment,offexch,paraexch,goprice_usd,pprice
Apr-07,2007,4,53.49,48.1,67.27,0,65.75,53.05,0,57.95,0,65.89,0,73.9,68.92,75.09,45.75,53.71,61.91,58.8,51.92,50,35.93,32.59,48.74,71.76,Juba,yes,2.95,,65.06,
May-07,2007,5,56.45,50.99,67.27,0,73.23,53.69,0,57.95,0,65.89,0,73.71,68.92,77.1,48.9,55.32,61.23,56.49,51.92,50,41,39.35,51.26,75.32,Juba,yes,2.95,,65.16,
Jun-07,2007,6,56.2,51.33,67.54,0,65.93,66.01,0,57.95,0,57.94,0,78.4,70.64,77.95,49.1,59.62,62.85,63.18,53.1,50,38.75,35.57,50.29,75.81,Juba,yes,2.95,,68.19,
Jul-07,2007,7,57.87,51.19,67.54,0,76.79,60.04,0,44.04,0,59.53,0,69.55,90.83,78.88,48.99,58.87,60.83,65.37,52.25,50,44,33.83,50.25,75.46,Juba,yes,2.95,,73.6,
Aug-07,2007,8,58.87,53.22,66.56,0,77.31,68.6,0,42.05,0,59.53,0,75.87,79.69,80.48,51.14,62.65,64.4,65.6,56.05,50,46.52,34.39,51,76.34,Juba,yes,2.95,,70.13,
Sep-07,2007,9,62.16,55.65,81.9,0,87.36,61.51,0,46.03,0,59.53,0,74.52,77.91,86.09,53.55,67.19,70.63,87.7,57.02,75,41.28,33.77,47.85,80.16,Juba,yes,2.95,,76.76,
Oct-07,2007,10,65.5,61.42,77.87,0,78.99,62.04,0,46.03,0,59.53,0,72.27,88.91,83.87,59.58,64.6,66.69,76.95,59.09,65.63,47.1,56.31,53.07,78.19,Juba,yes,2.95,,81.97,
Nov-07,2007,11,65.53,60.36,70.74,0,89.98,62.38,0,43.64,0,62.71,0,74.64,81.53,84.54,58.51,67.75,69.71,72.95,53.81,53.13,60.92,46.04,50.71,75.23,Juba,yes,2.95,,91.34,
Dec-07,2007,12,62.93,59.3,65.63,0,74.29,67.53,0,46.03,0,65.89,0,73.6,83.21,81.99,57.33,68.05,61.49,72.36,53.13,59.38,46.11,49.39,50.25,104.05,Juba,yes,2.95,,89.52,
Jan-08,2008,1,71.16,69.46,67.33,0,76.46,63.82,0,72.17,0,59.53,0,77.48,82.33,86.53,67.89,83.77,72.97,91.64,64.74,59.38,55.22,58.48,48.72,101.23,Juba,yes,2.95,3.58,90.69,
